,new_word
0,CMR
1,EU
2,H
3,KE
4,MSDS
5,PSM
6,R
7,UN
8,공포
9,관용
10,권산
11,규제
12,기인
13,끓는점
14,독성
15,리스크
16,미이수자
17,발암성
18,방안 
19,변이원성
20,보호구
21,불안전
22,비산
23,생식독성
24,심각도
25,아차사고
26,안전보건
27,요정
28,위험도
29,유소견자
30,유해성
31,이수자
32,입출
33,재난안전
34,재난안전경영
35,전열기
36,주무
37,직업병
38,푸른신호등
39,하루
40,함량
41,행동
42,화학
43,휘발성
