,new_word
0,2발재고
1,A/H
2,A1
3,A2
4,AS
5,AWD
6,B1
7,B2
8,D/S
9,DNA
10,FGI
11,Mesh
12,N/S
13,WF
14,고경
15,고경도
16,기포
17,내구성
18,누설
19,막힘성
20,미분도
21,미세분
22,미연분
23,상탄
24,아역
25,역청
26,운탄
27,유동점
28,인화
29,인화점
30,입자
31,재고성상
32,저탄
33,점도
34,탄산
35,항유화
36,혼탄관리
37,황분
38,회저항
39,회절
