,new_word
0,PV
1,RPA
2,SPC
3,공금
4,금융기관
5,기여분
6,담담자
7,매매
8,매물
9,면제 
10,법정동
11,비태양광
12,사업체
13,수차
14,스마트빌
15,신행
16,유닛
17,저장소
18,태양광사업자관리
19,특이사항
20,판매처
